code,idgrade,mean_dropout
1101708,9,6.031250000000001
1101757,5,1.135
1101757,9,5.412500000000001
1101807,5,.455
1101807,9,4.025
1200013,5,2.609999999999999
1200013,9,6.762499999999999
1200054,5,7.834999999999999
1200054,9,9.393750000000001
1200104,5,3.88
1200104,9,5.818750000000001
1200138,5,3.82
1200138,9,10.6375
1200179,5,3.13
1200179,9,6.35
1200203,5,3.095
1200203,9,5.099999999999998
1200252,5,2.895
1200252,9,6.01875
1200302,5,7.425
1200302,9,8.199999999999999
1200328,5,4.720000000000001
1200328,9,17.05
1200336,5,4.31
1200336,9,8.050000000000001
1200344,5,6.910000000000001
1200344,9,6.4375
1200351,5,9.254999999999997
1200351,9,11.45625
1200385,5,3.135
1200385,9,6.9125
1200393,5,10.735
1200393,9,11.98125
1200401,5,1.96
1200401,9,3.549999999999999
1200427,5,5.515
1200427,9,6.85625
1200435,5,10.25
1200435,9,13.28125
1200450,5,2.475000000000001
1200450,9,5.499999999999999
1200500,5,6.130000000000001
1200500,9,9.856249999999999
1200609,5,7.565
1200609,9,10.7
1200708,5,5.735
1200708,9,7.481249999999999
1200807,5,3.865000000000001
1200807,9,6.599999999999999
1300029,5,4.534999999999999
1300029,9,7.818750000000001
1300060,5,2.565
1300060,9,6.63125
1300086,5,2.595
1300086,9,5.625000000000001
1300102,5,3.054999999999999
1300102,9,8.75
1300144,5,3.115
1300144,9,7.4125
1300201,5,6.915000000000001
1300201,9,10.78125
1300300,5,3.94
1300300,9,10.0125
1300409,5,10.12
1300409,9,9.512499999999999
1300508,5,3.955000000000001
1300508,9,6.9125
1300607,5,2.93
1300607,9,9.65
1300631,5,9.114999999999998
1300631,9,11.83125
1300680,5,2.53
1300680,9,8.212499999999999
1300706,5,5.035000000000001
1300706,9,11.28125
1300805,5,6.465000000000001
1300805,9,10.0875
1300839,5,8.495000000000001
1300839,9,10.025
1300904,5,6.5
1300904,9,9.4125
1301001,5,3.935
1301001,9,5.000000000000001
1301100,5,3.495
1301100,9,10.1375
1301159,5,2.235
1301159,9,5.30625
