numero,categoria_profissional,localizacao_geografica,empregador_trabalhadores,abrangencia,alvo_esfera,inicio,dias,carater1,carater2,carater3
32644,Professores Rede Municipal,Riachão do Dantas/SE,,categoria,poder executivo/municipal,11/14/2014,19,-,defensiva,-
32645,Professores Rede Municipal,Riachão do Dantas/SE,,categoria,poder executivo/municipal,8/10/2015,19,-,defensiva,protesto
32646,Professores Rede Municipal,Japoatã/SE,,categoria,poder executivo/municipal,9/14/2015,31,-,defensiva,protesto
32648,Professores Rede Municipal,Propriá/SE,,categoria,poder executivo/municipal,10/21/2014,2,-,defensiva,protesto
32649,Professores Rede Municipal,Propriá/SE,,categoria,poder executivo/municipal,7/23/2015,1,-,defensiva,protesto
32650,Professores Rede Municipal,Propriá/SE,,categoria,poder executivo/municipal,8/17/2015,95,-,defensiva,protesto
32652,Professores Rede Municipal,Indiaroba/SE,,categoria,poder executivo/municipal,9/1/2014,1,-,defensiva,-
32653,Professores Rede Municipal,Indiaroba/SE,,categoria,poder executivo/municipal,10/1/2014,1,-,defensiva,-
32654,Professores Rede Municipal,Indiaroba/SE,,categoria,poder executivo/municipal,11/11/2014,2,-,defensiva,-
32655,Professores Rede Municipal,Indiaroba/SE,,categoria,poder executivo/municipal,11/3/2015,15,-,defensiva,protesto
32656,Professores Rede Municipal,Porto da Folha/SE,,categoria,poder executivo/municipal,10/23/2015,55,-,defensiva,protesto
32657,Professores Rede Municipal,Porto da Folha/SE,,categoria,poder executivo/municipal,11/17/2014,3,-,defensiva,-
32658,Professores Rede Municipal ,Campo do Brito/SE,,categoria,poder executivo/municipal,10/26/2015,2,-,defensiva,-
32659,Professores Rede Municipal ,Campo do Brito/SE,,categoria,poder executivo/municipal,2/23/2016,8,-,defensiva,-
32661,Professores Rede Municipal,Itapebi/BA,,categoria,poder executivo/municipal,4/15/2015,27,-,defensiva,-
32662,Professores Rede Municipal,Camacan/BA,,categoria,poder executivo/municipal,3/10/2015,58,-,defensiva,-
32664,Professores Rede Municipal,Camaçari/BA,,categoria,poder executivo/municipal,3/2/2015,17,-,-,-
32666,Professores Rede Municipal,Lauro de Freitas/BA,,categoria,poder executivo/municipal,3/2/2015,2,-,defensiva,protesto
32668,Professores Rede Municipal,Feira de Santana/BA,,categoria,poder executivo/municipal,3/3/2015,1,-,defensiva,-
32669,Professores Rede Municipal,Itabuna/BA,,categoria,poder executivo/municipal,10/8/2014,1,-,defensiva,-
32671,Professores Rede Municipal,Itabuna/BA,,categoria,poder executivo/municipal,5/5/2015,77,propositiva,defensiva,protesto
32672,Professores Rede Municipal,Itabuna/BA,,categoria,poder executivo/municipal,9/14/2015,5,propositiva,defensiva,protesto
32674,Rede Pública Estadual de ENSINO,RJ,DEGASE - Departamento Geral de Ações Socioeducativas,categoria,poder executivo/estadual,4/6/2016,20,-,defensiva,-
32686,Professores Rede Municipal,São Luís/MA,,categoria,poder executivo/municipal,5/22/2014,106,propositiva,defensiva,-
32687,Professores Rede Municipal,Recife/PE,,categoria,poder executivo/municipal,7/15/2014,10,propositiva,defensiva,-
32688,Professores Rede Municipal,São Caetano do Sul/SP,,categoria,poder executivo/municipal,5/8/2014,1,propositiva,-,-
32697,Professores Rede Municipal,Maceió/AL,,categoria,poder executivo/municipal,7/24/2014,14,propositiva,defensiva,protesto
32704,Professores Rede Estadual,MG,,categoria,poder executivo/estadual,2/5/2016,1,-,defensiva,-
32715,Professores Rede Federal Ensino Superior,NACIONAL,,categoria,poder executivo/federal,3/19/2014,1,propositiva,defensiva,protesto
32719,Professores Rede Municipal,Ourilândia do Norte/PA,,categoria,poder executivo/municipal,4/9/2014,1,propositiva,defensiva,protesto
32720,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Vigia/PA,,categoria,poder executivo/municipal,4/4/2014,12,propositiva,defensiva,protesto
32721,Professores Rede Municipal,Maceió/AL,,categoria,poder executivo/municipal,4/10/2014,21,-,defensiva,-
32722,Professores Rede Municipal,Igaci/AL,,categoria,poder executivo/municipal,7/14/2014,1,propositiva,-,-
32729,Professores Rede Municipal,Uruará/PA,,categoria,poder executivo/municipal,5/2/2016,24,-,defensiva,protesto
32732,Professores Rede Municipal,Parauapebas/PA,,categoria,poder executivo/municipal,6/1/2016,15,propositiva,defensiva,protesto
32733,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Conceição do Araguaia/PA,,categoria,poder executivo/municipal,3/21/2016,4,-,defensiva,-
32735,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Conceição do Araguaia/PA,,categoria,poder executivo/municipal,4/13/2016,17,-,defensiva,-
32736,Professores Rede Municipal,Floresta do Araguaia/PA,,categoria,poder executivo/municipal,6/7/2016,2,-,defensiva,protesto
32737,Professores Rede Municipal,Baião/PA,,categoria,poder executivo/municipal,3/10/2016,13,propositiva,defensiva,protesto
32738,Professores Rede Municipal,São Lourenço da Mata/PE,,categoria,poder executivo/municipal,4/9/2014,17,propositiva,-,-
32739,Professores Rede Municipal,Goiana/PE,,categoria,poder executivo/municipal,4/22/2014,29,propositiva,defensiva,-
32746,Professores Rede Estadual,BA,,categoria,poder executivo/estadual,4/15/2015,2,propositiva,-,-
32751,"Auxiliares de Administração Escolar Rede Estadual, Professores Rede Estadual",PR,,categoria,poder executivo/estadual,4/23/2014,7,propositiva,defensiva,-
32753,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",São Gonçalo/RJ,,categoria,poder executivo/municipal,3/25/2014,81,propositiva,defensiva,protesto
32756,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Xinguara/PA,,categoria,poder executivo/municipal,4/15/2014,52,propositiva,-,-
32757,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Medicilândia/PA,,categoria,poder executivo/municipal,4/14/2014,50,propositiva,defensiva,-
32758,Professores Rede Municipal,Acará/PA,,categoria,poder executivo/municipal,5/20/2014,10,propositiva,-,-
32766,Professores Rede Municipal,Recife/PE,,categoria,poder executivo/municipal,5/22/2014,2,propositiva,defensiva,protesto
32767,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",São João de Meriti/RJ,,categoria,poder executivo/municipal,5/27/2014,1,propositiva,-,-
32769,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",São João de Meriti/RJ,,categoria,poder executivo/municipal,6/4/2014,2,propositiva,-,-
32770,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",São João de Meriti/RJ,,categoria,poder executivo/municipal,3/11/2015,1,propositiva,defensiva,protesto
32771,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",São João de Meriti/RJ,,categoria,poder executivo/municipal,5/19/2015,9,-,defensiva,protesto
32772,Professores Rede Municipal,Macaé/RJ,,categoria,poder executivo/municipal,5/21/2014,1,propositiva,defensiva,protesto
32780,"Auxiliares de Administração Escolar Rede Estadual Ensino Superior, Professores Rede Estadual Ensino Superior",AP,,categoria,poder executivo/estadual,3/10/2015,1,-,defensiva,protesto
32781,"Auxiliares de Administração Escolar Rede Estadual Ensino Superior, Professores Rede Estadual Ensino Superior",AP,,categoria,poder executivo/estadual,4/30/2015,1,propositiva,defensiva,protesto
32782,"Auxiliares de Administração Escolar Rede Estadual Ensino Superior, Professores Rede Estadual Ensino Superior",AP,Empregador não identificado,categoria,poder executivo/estadual,3/17/2016,99,propositiva,defensiva,protesto
32809,Professores Rede Municipal,Itapetinga/BA,,categoria,poder executivo/municipal,5/5/2016,42,propositiva,defensiva,protesto
32811,Professores Rede Municipal,Inácio Martins/PR,,categoria,poder executivo/municipal,4/14/2016,23,propositiva,defensiva,-
32814,Auxiliares de Administração Escolar Rede Estadual Ensino Superior,PI,,categoria,poder executivo/estadual,2/12/2016,5,propositiva,defensiva,-
32816,Auxiliares de Administração Escolar Rede Estadual Ensino Superior,PI,,categoria,poder executivo/estadual,4/18/2016,43,propositiva,defensiva,-
32818,Professores Rede Estadual Ensino Superior,PI,,categoria,poder executivo/estadual,4/18/2016,67,propositiva,defensiva,protesto
32912,Professores Rede Municipal,Cubatão/SP,,categoria,poder executivo/municipal,6/14/2016,18,propositiva,defensiva,protesto
32916,Professores Rede Municipal,Salvador/BA,,categoria,poder executivo/municipal,5/27/2015,3,propositiva,-,-
32917,Professores Rede Municipal,Salvador/BA,,categoria,poder executivo/municipal,6/8/2016,2,propositiva,-,-
32922,Professores Rede Municipal,São Luís/MA,,categoria,poder executivo/municipal,5/25/2016,38,propositiva,defensiva,protesto
32961,Professores Rede Estadual,RS,,categoria,poder executivo/estadual,5/16/2016,53,propositiva,defensiva,-
33139,Professores Rede Municipal,Jucurutu/RN,,categoria,poder executivo/municipal,2/28/2016,1,propositiva,defensiva,protesto
33140,Professores Rede Municipal,Jucurutu/RN,,categoria,poder executivo/municipal,5/9/2016,3,-,defensiva,protesto
33148,Professores Rede Municipal,Ponto Novo/BA,,categoria,poder executivo/municipal,2/25/2016,15,propositiva,-,-
33149,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Campina Grande/PB,,categoria,poder executivo/municipal,2/25/2016,33,propositiva,defensiva,protesto
33154,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Ubatã/BA,,categoria,poder executivo/municipal,2/15/2016,24,propositiva,defensiva,-
33170,Auxiliares de Administração Escolar Rede Municipal,Goiatuba/GO,,categoria,poder executivo/municipal,1/19/2016,13,-,defensiva,-
33173,Professores Rede Municipal,Marabá/PA,,categoria,poder executivo/municipal,2/12/2016,26,-,defensiva,-
33178,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Jacundá/PA,,categoria,poder executivo/municipal,1/19/2016,3,propositiva,defensiva,-
33179,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Jacundá/PA,,categoria,poder executivo/municipal,4/5/2016,1,-,defensiva,-
33180,Professores Rede Municipal,Hulha Negra/RS,,categoria,poder executivo/municipal,3/31/2016,2,propositiva,-,-
33183,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Sabáudia/PR,,categoria,poder executivo/municipal,4/4/2016,1,propositiva,defensiva,-
33186,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",São Tomé/RN,,categoria,poder executivo/municipal,2/29/2016,36,-,defensiva,-
33187,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",São José do Rio Preto/SP,,categoria,poder executivo/municipal,4/4/2016,1,propositiva,defensiva,protesto
33192,Professores Rede Municipal,Itaju do Colônia/BA,,categoria,poder executivo/municipal,3/1/2016,35,-,defensiva,-
33196,Professores Rede Municipal,Itapitanga/BA,,categoria,poder executivo/municipal,3/18/2016,22,-,defensiva,-
33198,Professores Rede Municipal,São Pedro/RN,,categoria,poder executivo/municipal,3/22/2016,21,-,defensiva,protesto
33200,Professores Rede Municipal,Antonina/PR,,categoria,poder executivo/municipal,2/15/2016,85,propositiva,defensiva,protesto
33202,Professores Rede Municipal,Lagoa de Velhos/RN,,categoria,poder executivo/municipal,4/7/2016,3,-,defensiva,-
33203,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Cabo Frio/RJ,,categoria,poder executivo/municipal,4/19/2016,1,-,defensiva,-
33204,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Cabo Frio/RJ,,categoria,poder executivo/municipal,5/10/2016,7,-,defensiva,-
33205,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Água Nova/RN,,categoria,poder executivo/municipal,5/9/2016,2,propositiva,defensiva,protesto
33206,Professores Rede Municipal,Castanhal/PA,,categoria,poder executivo/municipal,5/18/2016,1,-,defensiva,protesto
33213,Professores Rede Municipal,Nossa Senhora da Glória/SE,,categoria,poder executivo/municipal,5/23/2016,1,propositiva,defensiva,protesto
33216,Professores Rede Municipal,Parauapebas/PA,,categoria,poder executivo/municipal,4/6/2016,8,propositiva,defensiva,-
33217,Professores Rede Municipal,Barra dos Coqueiros/SE,,categoria,poder executivo/municipal,4/25/2016,23,-,defensiva,protesto
33218,Professores Rede Municipal,Cantá/RR,,categoria,poder executivo/municipal,5/5/2016,1,propositiva,defensiva,protesto
33219,Professores Rede Municipal,Cantá/RR,,categoria,poder executivo/municipal,4/17/2015,6,-,defensiva,-
33221,Professores Rede Municipal,Euclides da Cunha/BA,,categoria,poder executivo/municipal,9/9/2015,13,-,defensiva,-
33222,Professores Rede Municipal,Euclides da Cunha/BA,,categoria,poder executivo/municipal,5/9/2016,1,-,defensiva,-
33225,Professores Rede Municipal,Aperibé/RJ,,categoria,poder executivo/municipal,5/2/2016,4,-,defensiva,protesto
33228,Professores Rede Municipal,Coivaras/PI,,categoria,poder executivo/municipal,5/12/2016,3,-,defensiva,-
33229,Professores Rede Municipal ,Araranguá/SC,CENTRO EDUCACIONAL INFANTIL SÃO JOSÉ,categoria,poder executivo/municipal,5/17/2016,1,-,defensiva,-
33233,Professores Rede Municipal,Gravataí/RS,,categoria,poder executivo/municipal,5/31/2016,1,propositiva,defensiva,protesto
33234,Professores Rede Municipal,Gravataí/RS,,categoria,poder executivo/municipal,6/8/2016,1,propositiva,defensiva,protesto
33238,Professores Rede Municipal,Itabela/BA,,categoria,poder executivo/municipal,4/7/2016,1,-,defensiva,-
33239,Professores Rede Municipal,Itabela/BA,,categoria,poder executivo/municipal,5/4/2016,1,-,defensiva,-
33243,Professores Rede Municipal,Confresa/MT,,categoria,poder executivo/municipal,5/13/2016,6,propositiva,defensiva,-
33248,Professores Rede Municipal,Juazeiro do Norte/CE,,categoria,poder executivo/municipal,5/12/2016,48,propositiva,defensiva,-
33250,Professores Rede Estadual,CE,,categoria,poder executivo/estadual,4/25/2016,107,propositiva,defensiva,protesto
33254,Professores Rede Municipal,Guajará-Mirim/RO,,categoria,poder executivo/municipal,11/9/2015,12,propositiva,defensiva,-
33255,Professores Rede Municipal,Guajará-Mirim/RO,,categoria,poder executivo/municipal,2/23/2016,24,-,defensiva,protesto
33267,Professores Rede Municipal,Irajuba/BA,,categoria,poder executivo/municipal,5/4/2016,3,propositiva,-,-
33269,Professores Rede Municipal,Vitória da Conquista/BA,,categoria,poder executivo/municipal,4/28/2016,1,-,defensiva,-
33273,Auxiliares de Administração Escolar Rede Estadual,AL,,categoria,poder executivo/estadual,5/24/2016,1,propositiva,defensiva,-
33280,Professores Rede Municipal,Tartarugalzinho/AP,,categoria,poder executivo/municipal,4/18/2016,2,-,defensiva,-
33281,Professores Rede Municipal,Craíbas/AL,,categoria,poder executivo/municipal,4/29/2016,1,-,defensiva,-
33287,Professores Rede Municipal,Caruaru/PE,,categoria,poder executivo/municipal,4/27/2016,1,-,defensiva,protesto
33294,Professores Rede Municipal,Balsa Nova/PR,,categoria,poder executivo/municipal,3/16/2016,8,propositiva,defensiva,-
33296,Professores Rede Municipal,Pombal/PB,,categoria,poder executivo/municipal,2/29/2016,8,-,defensiva,-
33306,Professores Rede Municipal,Jiquiriçá/BA,,categoria,poder executivo/municipal,4/5/2016,2,propositiva,-,-
33307,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Inhambupe/BA,,categoria,poder executivo/municipal,4/4/2016,1,propositiva,defensiva,protesto
33308,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Inhambupe/BA,,categoria,poder executivo/municipal,5/2/2016,10,propositiva,defensiva,protesto
33313,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Lizarda/TO,,categoria,poder executivo/municipal,3/28/2016,40,propositiva,defensiva,-
33318,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Pendências/RN,,categoria,poder executivo/municipal,5/2/2016,5,-,defensiva,-
33322,Professores Rede Municipal,Novo Hamburgo/RS,,categoria,poder executivo/municipal,3/8/2016,1,propositiva,defensiva,-
33324,Professores Rede Municipal,Juiz de Fora/MG,,categoria,poder executivo/municipal,5/4/2016,1,propositiva,-,-
33328,Professores Rede Municipal,Rio de Contas/BA,,categoria,poder executivo/municipal,2/19/2016,1,-,defensiva,-
33329,Professores Rede Municipal,Boa Vista do Tupim/BA,,categoria,poder executivo/municipal,5/31/2016,1,-,defensiva,-
33332,Professores Rede Municipal,São José do Rio Claro/MT,,categoria,poder executivo/municipal,3/7/2016,33,-,defensiva,-
33333,Professores Rede Municipal,Boca da Mata/AL,,categoria,poder executivo/municipal,5/19/2016,2,propositiva,-,-
33334,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Dom Eliseu/PA,,categoria,poder executivo/municipal,2/25/2016,15,-,defensiva,-
33336,Professores Rede Municipal,Sousa/PB,,categoria,poder executivo/municipal,3/14/2016,17,-,defensiva,-
33337,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Japeri/RJ,,categoria,poder executivo/municipal,3/9/2016,50,-,defensiva,-
33338,Professores Rede Municipal,Simões Filho/BA,,categoria,poder executivo/municipal,3/21/2016,26,-,defensiva,protesto
33339,Professores Rede Municipal,Tangará/RN,,categoria,poder executivo/municipal,3/18/2016,12,-,defensiva,-
33341,Professores Rede Municipal,Teixeira de Freitas/BA,,categoria,poder executivo/municipal,3/18/2016,6,propositiva,defensiva,-
33342,Professores Rede Municipal,Amargosa/BA,,categoria,poder executivo/municipal,3/28/2016,10,propositiva,defensiva,protesto
33349,Professores Rede Municipal,Barreiras/BA,,categoria,poder executivo/municipal,3/7/2016,2,propositiva,defensiva,-
33356,Professores Rede Municipal,Rio de Janeiro/RJ,,categoria,poder executivo/municipal,5/18/2016,1,-,defensiva,-
33362,Professores Rede Municipal,Ipecaetá/BA,,categoria,poder executivo/municipal,3/15/2016,25,propositiva,defensiva,protesto
33363,Professores Rede Municipal,Alcântara/MA,,categoria,poder executivo/municipal,3/17/2016,15,propositiva,-,protesto
33364,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Satuba/AL,,categoria,poder executivo/municipal,3/28/2016,2,propositiva,-,-
33367,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Cariacica/ES,,categoria,poder executivo/municipal,5/3/2016,31,propositiva,defensiva,protesto
33369,Professores Rede Municipal,Gararu/SE,,categoria,poder executivo/municipal,2/15/2016,64,-,defensiva,-
33375,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Valença do Piauí/PI,,categoria,poder executivo/municipal,5/10/2016,9,-,defensiva,-
33386,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Santarém/PA,,categoria,poder executivo/municipal,3/30/2016,1,propositiva,defensiva,protesto
33387,Professores Rede Municipal,Crateús/CE,,categoria,poder executivo/municipal,3/28/2016,32,propositiva,-,-
33391,"Auxiliares de Administração Escolar Rede Federal Ensino Superior, Professores Rede Federal Ensino Superior",RS,Universidade Federal do Pampa,categoria,poder executivo/federal,5/18/2016,3,-,defensiva,-
33392,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Caicó/RN,,categoria,poder executivo/municipal,4/18/2016,1,-,defensiva,protesto
33394,Professores Rede Municipal,Guaraciaba do Norte/CE,,categoria,poder executivo/municipal,2/18/2016,9,propositiva,defensiva,protesto
33397,Professores Rede Estadual,PB,,categoria,poder executivo/estadual,2/17/2016,1,propositiva,defensiva,-
33398,Professores Rede Estadual,PB,,categoria,poder executivo/estadual,6/2/2016,1,propositiva,defensiva,-
33399,Professores Rede Municipal,Carmópolis/SE,,categoria,poder executivo/municipal,5/19/2016,1,propositiva,-,-
33401,Professores Rede Municipal,Aracaju/SE,,categoria,poder executivo/municipal,2/15/2016,10,propositiva,defensiva,-
33402,Professores Rede Estadual,SE,,categoria,poder executivo/estadual,8/2/2016,2,propositiva,defensiva,protesto
33405,Professores Rede Municipal,Senador Guiomard/AC,,categoria,poder executivo/municipal,5/5/2016,34,propositiva,-,-
33409,"Auxiliares de Administração Escolar Rede Estadual, Professores Rede Estadual",MT,,categoria,poder executivo/estadual,7/12/2016,24,propositiva,defensiva,protesto
33410,Professores Rede Estadual Ensino Superior,BA,,categoria,poder executivo/estadual,5/24/2016,1,propositiva,defensiva,protesto
33411,Auxiliares de Administração Escolar Rede Estadual Ensino Superior,Campinas/SP,UNICAMP - UNIVERSIDADE ESTADUAL DE CAMPINAS,categoria,poder executivo/estadual,5/23/2016,81,propositiva,defensiva,-
33412,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Óbidos/PA,,categoria,poder executivo/municipal,6/13/2016,12,-,defensiva,-
33414,Professores Rede Municipal,Ponta Porã/MS,,categoria,poder executivo/municipal,2/22/2016,1,-,defensiva,-
33433,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Eldorado dos Carajás/PA,,categoria,poder executivo/municipal,5/17/2016,8,-,defensiva,protesto
33439,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",São José dos Pinhais/PR,,categoria,poder executivo/municipal,2/15/2016,8,-,defensiva,-
33461,Professores Rede Municipal,Brejo da Madre de Deus/PE,,categoria,poder executivo/municipal,4/14/2016,1,-,defensiva,-
33479,Professores Rede Municipal,Santa Cruz/PE,,categoria,poder executivo/municipal,4/18/2016,19,-,defensiva,-
33482,Professores Rede Municipal,Duque de Caxias/RJ,,categoria,poder executivo/municipal,3/21/2016,36,propositiva,defensiva,-
33483,Professores Rede Municipal,Camaçari/BA,,categoria,poder executivo/municipal,3/18/2016,57,propositiva,-,protesto
33490,Auxiliares de Administração Escolar Rede Estadual,RR,,categoria,poder executivo/estadual,3/31/2016,55,propositiva,-,-
33533,Professores Rede Estadual,"Estrela do Norte/SP, Presidente Prudente/SP, Regente Feijó/SP, Rosana/SP, Sandovalina/SP",Empregador não identificado,categoria,poder executivo/estadual,4/8/2016,1,propositiva,defensiva,-
33535,Professores Rede Municipal,Sertânia/PE,,categoria,poder executivo/municipal,4/29/2016,1,propositiva,defensiva,-
33536,Professores Rede Estadual,Itu/SP,Empregador não identificado,categoria,poder executivo/estadual,4/1/2016,1,propositiva,-,-
33542,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Sinop/MT,,categoria,poder executivo/municipal,3/30/2016,1,-,defensiva,-
33548,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",São Miguel do Guamá/PA,,categoria,poder executivo/municipal,3/2/2016,4,-,defensiva,protesto
33552,Professores Rede Municipal,Riacho das Almas/PE,,categoria,poder executivo/municipal,2/17/2016,1,-,defensiva,-
33554,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Caucaia/CE,,categoria,poder executivo/municipal,1/29/2016,1,propositiva,-,-
33555,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Caucaia/CE,,categoria,poder executivo/municipal,2/23/2016,24,propositiva,-,-
33556,Professores Rede Estadual Ensino Superior,Campos dos Goytacazes/RJ,Universidade Estadual do Norte Fluminense,categoria,poder executivo/estadual,4/4/2016,128,propositiva,defensiva,protesto
33561,Professores Rede Municipal ,Caaporã/PB,,categoria,poder executivo/municipal,2/15/2016,7,propositiva,defensiva,-
33563,Professores Rede Estadual,Cáceres/MT,,categoria,poder executivo/estadual,2/15/2016,4,-,defensiva,-
33570,Professores Rede Municipal,Lagarto/SE,,categoria,poder executivo/municipal,1/21/2016,5,propositiva,defensiva,-
33582,Professores Rede Municipal,Goiana/PE,,categoria,poder executivo/municipal,5/17/2016,105,propositiva,defensiva,-
33613,Professores Rede Municipal,Guaratinga/BA,,categoria,poder executivo/municipal,10/10/2016,4,-,defensiva,protesto
33626,Professores Rede Municipal,Cristinápolis/SE,,categoria,poder executivo/municipal,7/4/2016,1,-,defensiva,-
33628,Professores Rede Municipal,Cajueiro da Praia/PI,,categoria,poder executivo/municipal,7/4/2016,2,-,defensiva,-
33634,Professores Rede Municipal,Bonito/PE,,categoria,poder executivo/municipal,7/4/2016,58,propositiva,-,-
33648,Professores Rede Municipal,Barreirinha/AM,,categoria,poder executivo/municipal,9/12/2016,1,-,defensiva,-
33654,Professores Rede Municipal,São Cristóvão/SE,,categoria,poder executivo/municipal,6/2/2016,2,-,defensiva,-
33655,Professores Rede Municipal,São Cristóvão/SE,,categoria,poder executivo/municipal,9/13/2016,2,-,defensiva,protesto
33662,"Auxiliares de Administração Escolar Rede Estadual, Professores Rede Estadual",PR,,categoria,poder executivo/estadual,8/30/2016,1,-,defensiva,protesto
33673,Professores Rede Estadual,Macapá/AP,,categoria,poder executivo/estadual,9/21/2016,1,-,defensiva,protesto
33674,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Pariconha/AL,,categoria,poder executivo/municipal,9/6/2016,2,-,defensiva,-
33679,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Alcobaça/BA,,categoria,poder executivo/municipal,8/17/2016,20,propositiva,defensiva,protesto
33681,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Valença do Piauí/PI,,categoria,poder executivo/municipal,9/9/2016,1,-,defensiva,-
33682,Professores Rede Municipal,Anaurilândia/MS,,categoria,poder executivo/municipal,9/8/2016,1,-,defensiva,-
33686,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Assis Brasil/AC,,categoria,poder executivo/municipal,9/16/2016,1,-,defensiva,-
33687,Professores Rede Municipal,Guarulhos/SP,,categoria,poder executivo/municipal,7/25/2016,16,-,defensiva,-
33690,Professores Rede Municipal,Barra/BA,,categoria,poder executivo/municipal,5/23/2016,12,-,defensiva,-
33709,Auxiliares de Administração Escolar Rede Municipal ,Quatis/RJ,Empregador não identificado,categoria,poder executivo/municipal,5/9/2016,2,-,defensiva,-
33713,Professores Rede Municipal,Ribeirão/PE,,categoria,poder executivo/municipal,9/10/2015,1,-,defensiva,-
33742,Professores Rede Municipal,Arame/MA,,categoria,poder executivo/municipal,9/22/2016,1,-,defensiva,-
33767,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Criciúma/SC,,categoria,poder executivo/municipal,9/27/2016,1,-,-,protesto
33768,Professores Rede Municipal,Itapecuru Mirim/MA,,categoria,poder executivo/municipal,5/30/2016,79,-,defensiva,protesto
33769,Professores Rede Municipal,Rio das Pedras/SP,,categoria,poder executivo/municipal,8/11/2016,2,-,defensiva,-
33774,Professores Rede Municipal,Floriano/PI,,categoria,poder executivo/municipal,8/8/2016,9,-,defensiva,-
33787,Professores Rede Municipal,São João do Sul/SC,,categoria,poder executivo/municipal,6/1/2016,1,propositiva,-,-
33788,Professores Rede Municipal,Guaratinga/BA,,categoria,poder executivo/municipal,6/1/2016,1,propositiva,-,-
33789,Professores Rede Municipal,Guaratinga/BA,,categoria,poder executivo/municipal,4/8/2014,1,-,defensiva,-
33790,Professores Rede Municipal,Guaratinga/BA,,categoria,poder executivo/municipal,7/8/2016,4,-,defensiva,-
33797,Professores Rede Municipal,Cravolândia/BA,,categoria,poder executivo/municipal,8/10/2016,1,-,defensiva,-
33810,Professores Rede Municipal,Aracaju/SE,,categoria,poder executivo/municipal,8/1/2016,10,-,defensiva,protesto
33823,Professores Rede Municipal,Matinha/MA,,categoria,poder executivo/municipal,6/9/2016,17,propositiva,defensiva,-
33829,Professores Rede Estadual,MG,,categoria,poder executivo/estadual,4/7/2016,1,-,defensiva,protesto
33838,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Cabo Frio/RJ,,categoria,poder executivo/municipal,6/7/2016,139,-,defensiva,-
33848,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Augustinópolis/TO,,categoria,poder executivo/municipal,8/17/2016,1,-,defensiva,-
33866,Professores Rede Municipal,Mazagão/AP,,categoria,poder executivo/municipal,10/19/2016,2,-,defensiva,-
33868,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Curuá/PA,,categoria,poder executivo/municipal,10/24/2016,1,-,defensiva,-
