numero,categoria_profissional,localizacao_geografica,empregador_trabalhadores,abrangencia,alvo_esfera,inicio,dias,carater1,carater2,carater3
16321,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Rio de Janeiro/RJ,,categoria,poder executivo/municipal,9/10/2002,1,propositiva,-,-
16322,Professores Rede Municipal,São Gonçalo/RJ,,categoria,poder executivo/municipal,8/12/2002,30,propositiva,-,-
16323,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Valença/RJ,,categoria,poder executivo/municipal,9/2/2002,5,propositiva,-,-
16333,Professores Rede Estadual Ensino Superior,Teresina/PI,UESPI - UNIVERSIDADE ESTADUAL DO PIAUÍ,categoria,poder executivo/estadual,9/16/2002,8,-,-,protesto
16334,Auxiliares de Administração Escolar Rede Estadual,ES,,categoria,poder executivo/estadual,8/14/2002,6,-,defensiva,protesto
16335,Professores Rede Municipal ,Cotia/SP,,categoria,poder executivo/municipal,9/30/2002,3,propositiva,-,protesto
16338,Professores Rede Estadual,PI,,categoria,poder executivo/estadual,9/10/2002,1,propositiva,defensiva,-
16339,Professores Rede Municipal ,Jaboatão dos Guararapes/PE,,categoria,poder executivo/municipal,8/29/2002,5,propositiva,-,-
16368,Professores Rede Municipal ,Jequié/BA,,categoria,poder executivo/municipal,9/16/2002,26,propositiva,-,-
16507,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Serra/ES,,categoria,poder executivo/municipal,2/13/2003,2,propositiva,defensiva,-
16521,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Serra/ES,,categoria,poder executivo/municipal,4/1/2003,1,propositiva,defensiva,-
16522,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Vitória/ES,,categoria,poder executivo/municipal,3/17/2003,1,propositiva,-,-
16545,Professores Rede Municipal,Padre Marcos/PI,,categoria,poder executivo/municipal,2/15/2003,29,-,defensiva,-
16629,Professores Rede Estadual,DF,FEDF - FUNDAÇÃO EDUCACIONAL DO DISTRITO FEDERAL,categoria,poder executivo/estadual,2/15/1990,31,propositiva,-,-
16630,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Anápolis/GO,,categoria,poder executivo/municipal,2/7/1990,1,propositiva,-,-
16674,Professores Rede Municipal ,Rio do Sul/SC,ESCOLA DE EDUCAÇÃO BÁSICA JOÃO CUSTÓDIO DA LUZ,categoria,poder executivo/municipal,3/27/2003,1,propositiva,-,-
16763,Professores Rede Estadual,PI,,categoria,poder executivo/estadual,4/11/2003,17,propositiva,-,-
16765,Auxiliares de Administração Escolar Rede Estadual,MT,,categoria,poder executivo/estadual,4/25/2003,1,-,defensiva,protesto
16766,Professores Rede Estadual,SP,,categoria,poder executivo/estadual,4/11/2003,1,propositiva,-,protesto
16767,Professores Rede Estadual Ensino Superior,SP,,categoria,poder executivo/estadual,4/10/2003,1,propositiva,-,-
16791,Professores Rede Municipal ,São Gonçalo/RJ,,categoria,poder executivo/municipal,3/13/1990,19,propositiva,-,-
16792,Professores Rede Municipal,Itaguaí/RJ,,categoria,poder executivo/municipal,2/12/1990,30,-,defensiva,-
16793,"Auxiliares de Administração Escolar Rede Estadual, Professores Rede Estadual",MG,,categoria,poder executivo/estadual,3/29/1990,1,propositiva,-,protesto
16796,"Auxiliares de Administração Escolar Rede Estadual, Professores Rede Estadual",BA,,categoria,poder executivo/estadual,3/14/1990,14,propositiva,-,protesto
16798,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Rio Largo/AL,,categoria,poder executivo/municipal,3/31/1990,1,propositiva,-,-
16799,Professores Rede Estadual,PE,,categoria,poder executivo/estadual,3/6/1990,26,propositiva,-,-
16800,Professores Rede Estadual Ensino Superior,PE,FESP - FUNDAÇÃO DO ENSINO SUPERIOR DE PERNAMBUCO,categoria,poder executivo/estadual,3/22/1990,1,propositiva,-,-
16801,Professores Rede Estadual Ensino Superior,Mossoró/RN,FURRN - FUNDAÇÃO UNIVERSIDADE REGIONAL DO RIO GRANDE DO NORTE,categoria,poder executivo/estadual,3/19/1990,1,propositiva,-,-
16806,Auxiliares de Administração Escolar Rede Estadual,DF,FEDF - FUNDAÇÃO EDUCACIONAL DO DISTRITO FEDERAL,categoria,poder executivo/estadual,2/16/1990,15,propositiva,-,-
