code,year,hlo,eys,lays
171550,2017,.64743912,9.6609993,.6315316
171570,2017,.55310225,9.8920002,.59315652
171575,2017,.69453639,10.955,.70376676
171610,2017,.62432992,11.213001,.67035288
171620,2017,.56487262,9.8359995,.59719414
171630,2017,.59631741,10.733,.6389187
171650,2017,.58689439,11.719,.66379976
171660,2017,.61093819,9.9690008,.62327683
171665,2017,.58166385,11.473001,.65303427
171670,2017,.62492752,11.171,.66930544
171700,2017,.59835804,11.2,.65450817
171720,2017,.60213149,11.289999,.65957808
171750,2017,.60724753,11.014001,.6538077
171780,2017,.58868033,10.538,.62894028
171790,2017,.59394753,11.038,.64692783
171800,2017,.57654977,10.511,.62176639
171820,2017,.60394555,10.594,.63881266
171830,2017,.56555927,10.493999,.61557305
171840,2017,.58369291,11.374,.65123403
171845,2017,.55844235,11.011,.62620384
171850,2017,.59691066,10.811999,.64166033
171855,2017,.57582939,10.247,.61387861
171865,2017,.57813072,10.062,.60979778
171870,2017,.61240184,10.386,.63688409
171875,2017,.57161689,10.983001,.63270277
171880,2017,.5998919,10.427,.63153988
171884,2017,.61843735,10.946,.65806818
171886,2017,.59205508,10.382999,.62611866
171888,2017,.57074296,11.22,.63909566
171889,2017,.58111,10.170001,.6143387
171890,2017,.56176758,10.813001,.62247705
171900,2017,.56654412,9.8849993,.59930962
172000,2017,.61254257,10.798,.64994913
172010,2017,.59006965,10.299,.62261319
172015,2017,.5716368,11.12,.63669032
172020,2017,.57475477,9.9469995,.60493565
172025,2017,.62191027,10.767,.65422016
172030,2017,.5920881,10.571,.63173646
172049,2017,.62822938,11.179999,.67158705
172065,2017,.54791504,10.993,.61993444
172080,2017,.6116811,10.029001,.62548
172085,2017,.58790612,10.413,.62484562
172090,2017,.62136447,10.026001,.63026434
172093,2017,.57687616,10.040999,.60859215
172097,2017,.56191152,10.668,.61850983
172100,2017,.62178957,11.229,.66935951
172110,2017,.58510661,9.8900003,.60831428
172120,2017,.62358797,10.363001,.64209402
172125,2017,.72452354,10.806,.71629447
172130,2017,.6205492,9.8390017,.62403226
172208,2017,.59457195,11.335,.65649372
172210,2017,.62729979,10.775001,.65752822
210000,2017,,,
210005,2017,.61169863,10.895,.65256566
210010,2017,.55532694,10.792,.61844134
210015,2017,.59708387,10.576001,.63456267
210020,2017,.5646888,10.440001,.61362463
210030,2017,.56846613,10.246,.6101566
210040,2017,.53258491,10.601999,.60152763
210043,2017,.54142737,10.672001,.60789633
210047,2017,.57054096,11.497,.64710981
210050,2017,.58386934,11.1,.64305568
210055,2017,.55520535,10.419001,.60821599
210060,2017,.57337916,9.8980007,.60291719
210070,2017,.56002659,10.552,.61431468
210080,2017,.56466281,10.810999,.62398154
210083,2017,.59696418,10.758,.64003736
210087,2017,.53387064,10.528999,.60030937
210090,2017,.55301839,9.9809999,.59545714
210095,2017,.55455971,9.6570005,.58768201
210100,2017,.60514712,10.999999,.65215659
210110,2017,.57772642,10.775999,.63005155
210120,2017,.59733289,11.110999,.65113205
210125,2017,.56819403,11.008001,.63152009
210130,2017,.56311208,10.807,.62303299
210135,2017,.58724034,10.802999,.63604659
210140,2017,.60029233,10.863999,.64514899
210150,2017,.61286646,10.931,.65438426
210160,2017,.57643187,10.388,.61818838
210170,2017,.54368776,10.668,.60896462
210173,2017,.52172887,10.93,.60423005
210177,2017,.56140441,10.364,.60985845
210180,2017,.63633573,10.457999,.6520617
210190,2017,.56841171,11.315,.64052075
210193,2017,.58196664,11.01,.63928574
210197,2017,.53229684,9.8310003,.58195674
210200,2017,.55792022,10.288,.60603994
210203,2017,.54350096,10.388,.60149986
210207,2017,.55923605,10.568999,.61437196
210210,2017,.55965507,10.490001,.61241972
210215,2017,.52090162,10.515999,.59346569
210220,2017,.53629291,10.806999,.60875303
210230,2017,.58435947,11.138,.64447945
210232,2017,.54680669,10.596001,.60866767
210235,2017,.54282761,10.363,.60051107
210237,2017,.51841599,10.803,.59931725
210240,2017,.52616602,10.526999,.59637588
210250,2017,.58472699,10.018,.61178374
210255,2017,.55812961,11.184,.6308859
210260,2017,.55800927,10.984,.625211
210270,2017,.56555963,9.7449999,.59506196
210275,2017,.55121696,10.778,.61587042
210280,2017,.63046312,10.661,.65554351
210290,2017,.57933176,10.446,.62134796
210300,2017,.59520447,10.571001,.6334036
210310,2017,.60367429,10.672,.64107615
210312,2017,.56356919,10.922999,.62654746
210315,2017,.57026565,10.242999,.6109736
210317,2017,.57194686,10.364,.61521256
210320,2017,.58597869,10.907999,.63848853
210325,2017,.58807814,10.481,.62693763
210330,2017,.56221038,10.495,.61387241
210340,2017,.58320707,10.011,.61083943
210350,2017,.55456817,10.82,.61880457
210355,2017,.56577313,10.721,.62204194
210360,2017,.56384987,11.165001,.63357985
210370,2017,.61931825,10.483001,.64364052
210375,2017,.61450565,10.238,.63337332
210380,2017,.65566576,10.861001,.67685032
210390,2017,.55287963,10.531,.6100527
210400,2017,.58299005,11.002001,.63962358
210405,2017,.60078347,10.696,.64023399
210407,2017,.57975119,10.44,.62139285
210408,2017,.51973194,10.478001,.59194601
210409,2017,.58525729,11.403,.65304786
210410,2017,.65650475,11.039,.68370581
210420,2017,.60722148,9.7849998,.61590225
210430,2017,.59191251,9.7629995,.60793173
210440,2017,.57698822,11.122001,.63978767
210450,2017,.60082686,10.673001,.63955033
210455,2017,.59624952,9.7160006,.60862857
210460,2017,.57426023,10.441999,.61860645
210462,2017,.56166494,10.500001,.61372924
210465,2017,.57999122,10.046,.61025852
210467,2017,.5603773,10.3,.6075936
210470,2017,.59255421,10.623,.63354534
210480,2017,.57472205,10.294,.6146484
210490,2017,.59771025,10.648,.6370886
210500,2017,.54230165,10.146001,.59462488
210510,2017,.53568083,10.755,.60707664
210515,2017,.52818251,10.534,.59756631
210520,2017,.60678387,10.948998,.65148169
210530,2017,.62452555,11.154,.66849703
210535,2017,.55628633,10.071,.59940892
210540,2017,.54624724,10.533999,.60673296
210542,2017,.59595144,10.645,.63604385
210545,2017,.54587781,10.154,.59656173
210547,2017,.50985503,9.9260006,.57399517
210550,2017,.5964213,10.687999,.63760519
210560,2017,.56646645,10.831999,.62555069
210565,2017,.55204284,11.215,.62831908
210570,2017,.58204639,10.941,.63727981
210580,2017,.5754658,11.326001,.64495039
210590,2017,.56768906,10.379001,.61346233
210592,2017,.56972992,11.335001,.64187038
210594,2017,.59610546,11.187,.65278369
210596,2017,.53886318,10.555999,.60354125
210598,2017,.55206591,11.255,.62944311
210600,2017,.56481981,10.655,.61968279
210610,2017,.59923589,11.117002,.65242213
210620,2017,.56769729,9.9899998,.60272372
210630,2017,.56064141,11.187999,.63241875
210632,2017,.56272137,10.448,.61283779
210635,2017,.55811906,9.7589998,.59199011
210637,2017,.59774804,10.454999,.6312561
210640,2017,.54614532,10.944,.61764657
210650,2017,.57861793,11.297001,.64592737
210660,2017,.57837611,10.114,.61138749
210663,2017,.53368145,10.710999,.60489583
210667,2017,.51635349,11.285001,.61028081
210670,2017,.53008395,10.745001,.60390413
210675,2017,.56887692,11.296,.64023668
210680,2017,.57620347,10.816,.63038617
210690,2017,.55908972,9.5209999,.58616585
210700,2017,.60102457,10.13,.62317389
210710,2017,.56832504,10.268,.61069655
210720,2017,.54130304,11.104,.61930978
210725,2017,.63227391,10.995001,.66774309
210730,2017,.55075318,10.463999,.60716569
210735,2017,.59414947,10.561,.63253796
210740,2017,.56558394,10.476,.61508465
210745,2017,.56126797,10.615999,.61672848
210750,2017,.60289633,11.129999,.65495998
210760,2017,.55804968,10.806999,.62031204
210770,2017,.58343351,9.9370003,.60884368
210780,2017,.57503891,10.189,.61184621
210790,2017,.5974983,11.081,.65029466
210800,2017,.55477321,11.098001,.626598
210805,2017,.52181756,10.814999,.60138285
210810,2017,.5566467,10.417,.60889286
210820,2017,.60605979,10.653,.64179164
210825,2017,.55272478,10.259,.60268068
210830,2017,.58089566,10.499999,.62372375
210840,2017,.54730314,10.738999,.61274832
210845,2017,.52312452,10.663,.59824562
210850,2017,.56225884,10.577999,.61619359
210860,2017,.57109499,10.910001,.63030702
210870,2017,.56114233,10.415999,.61115092
210880,2017,.56243849,10.941,.62643588
210890,2017,.58645201,10.874999,.6377641
210900,2017,.62682283,11.2,.67141575
210905,2017,.61662209,10.715,.64957851
210910,2017,.58643359,10.493,.62642628
210920,2017,.54939258,10.506999,.60762179
210923,2017,.59126174,10.506001,.62935722
210927,2017,.52861524,11.184999,.61447006
210930,2017,.54734385,11.036,.62079084
210940,2017,.5298484,10.365999,.59415954
210945,2017,.55968881,10.574,.61474484
210950,2017,.60269666,10.391,.63192135
210955,2017,.54897958,10.843,.61644071
210960,2017,.58282626,10.765,.63250321
210970,2017,.57765734,11.217,.64298528
210975,2017,.52048171,10.740001,.59881532
210980,2017,.5782094,9.3900003,.5911715
210990,2017,.58780295,10.765,.63521987
211000,2017,.55557549,10.556,.61211956
211003,2017,.55476463,10.369,.60664493
211010,2017,.53582299,11.004001,.61366612
