FID,NM_MUNICIP,CD_GEOCMU,x_cent,y_cent
175,CACIQUE DOBLE,4303202,-51.676763318100001,-27.814130093300001
176,CAIBATÉ,4303301,-54.655163521399999,-28.335375071000001
177,CAIÇARA,4303400,-53.466389740399997,-27.246647733600000
178,CAMAQUÃ,4303509,-51.788647292999997,-30.922642304000000
179,CAMARGO,4303558,-52.221257210399997,-28.616396427400002
180,CAMPINA DAS MISSÕES,4303707,-54.833961301700000,-27.963251284799998
181,CAMPINAS DO SUL,4303806,-52.657459196300003,-27.736259501900001
182,CAMPO NOVO,4304002,-53.824162372799996,-27.668338154200001
183,CAMPOS BORGES,4304101,-53.057617024499997,-28.905573416700001
184,CANDELÁRIA,4304200,-52.813147790400002,-29.700509674300001
185,CÂNDIDO GODÓI,4304309,-54.719772157800001,-27.933728990700001
186,CANDIOTA,4304358,-53.745757545899998,-31.554497213699999
187,CANGUÇU,4304507,-52.669610410600001,-31.217491071700000
188,CANUDOS DO VALE,4304614,-52.233944834500001,-29.327106414999999
189,CAPÃO DO CIPÓ,4304655,-54.582126077300003,-28.959582576599999
190,CAPÃO DO LEÃO,4304663,-52.538168474999999,-31.833657878499999
191,CAPITÃO,4304697,-51.984321386399998,-29.283199914299999
192,CARAZINHO,4304705,-52.864055482500000,-28.278222489499999
193,CARLOS GOMES,4304853,-51.929760257200002,-27.704320495699999
194,CASCA,4304903,-51.967282676600000,-28.594355454599999
195,CASEIROS,4304952,-51.736971091199997,-28.248467146900001
196,CATUÍPE,4305009,-54.034410705699997,-28.168733813999999
197,CENTENÁRIO,4305116,-52.003110672299997,-27.775879292399999
198,CERRITO,4305124,-52.795990427000000,-31.729710828999998
199,CERRO BRANCO,4305132,-52.995424393900002,-29.627526080399999
200,CERRO GRANDE,4305157,-53.163088012999999,-27.628549663600001
201,CERRO GRANDE DO SUL,4305173,-51.760246411300002,-30.583947479500001
202,CERRO LARGO,4305207,-54.739166517599998,-28.131786999799999
203,CHAPADA,4305306,-53.115105790100003,-28.096941899400001
204,CHARQUEADAS,4305355,-51.556497904899999,-29.990744743200000
205,CHARRUA,4305371,-52.000198979799997,-27.945176799999999
206,CHIAPETTA,4305405,-53.909620062400002,-27.986985521000001
207,CHUÍ,4305439,-53.412860716499999,-33.652769349099998
208,CHUVISCA,4305447,-52.004765812400002,-30.781982888999998
209,CIRÍACO,4305504,-51.917501196300002,-28.346295124099999
210,COLINAS,4305587,-51.868307452099998,-29.392817438700000
211,COLORADO,4305603,-52.991308279400002,-28.472750455500002
212,CONDOR,4305702,-53.493980024099997,-28.165784908999999
213,CONSTANTINA,4305801,-52.990181322200002,-27.689131627100000
214,COQUEIRO BAIXO,4305835,-52.126186274500000,-29.168328755200001
215,COQUEIROS DO SUL,4305850,-52.758339202899997,-28.132039925699999
216,CORONEL BARROS,4305871,-54.060203526099997,-28.404372684799998
217,CORONEL BICACO,4305900,-53.645953819799999,-27.798404281800000
218,CORONEL PILAR,4305934,-51.720476015999999,-29.262713198499998
219,COTIPORÃ,4305959,-51.689362277400001,-28.995125074600001
220,COXILHA,4305975,-52.332100590400003,-28.122016421100000
221,CRISSIUMAL,4306007,-54.136333681099998,-27.487506925500000
222,CRISTAL,4306056,-52.030257200400001,-31.009087869900000
223,CRISTAL DO SUL,4306072,-53.248486790800001,-27.432231195100002
224,CRUZ ALTA,4306106,-53.562408152499998,-28.703224735100001
225,CRUZALTENSE,4306130,-52.644017757999997,-27.627340150900000
226,CRUZEIRO DO SUL,4306205,-52.033571801800001,-29.541325097300000
227,DAVID CANABARRO,4306304,-51.812251099599997,-28.416455610900002
228,DERRUBADAS,4306320,-53.893403358599997,-27.240340751600002
229,DEZESSEIS DE NOVEMBRO,4306353,-55.079395127900000,-28.204960062300000
230,DILERMANDO DE AGUIAR,4306379,-54.163246129800001,-29.813892089300001
231,DOIS IRMÃOS DAS MISSÕES,4306429,-53.495668246400001,-27.676583301800001
232,DOIS LAJEADOS,4306452,-51.843076168400003,-28.976630557600000
233,DOM FELICIANO,4306502,-52.201497994299999,-30.604521554800002
234,DOM PEDRITO,4306601,-54.664858998900002,-31.057238699900001
235,DONA FRANCISCA,4306700,-53.346439429699998,-29.560662095800001
236,DOUTOR MAURÍCIO CARDOSO,4306734,-54.366961668599998,-27.487031379600001
237,DOUTOR RICARDO,4306759,-51.976580660499998,-29.092498775399999
238,ENCANTADO,4306809,-51.921661089700002,-29.213371159299999
239,ENCRUZILHADA DO SUL,4306908,-52.672238376099997,-30.630028225499998
240,ENGENHO VELHO,4306924,-52.908728451199998,-27.684772551599998
241,ENTRE-IJUÍS,4306932,-54.301861410900003,-28.460168254500001
242,ENTRE RIOS DO SUL,4306957,-52.726851747200001,-27.519028235400000
243,EREBANGO,4306973,-52.318187586999997,-27.829325894699998
244,ERECHIM,4307005,-52.257807465699997,-27.643337592700000
245,ERNESTINA,4307054,-52.554454081700001,-28.420922947499999
246,HERVAL,4307104,-53.401472568400003,-32.021432641700002
247,ERVAL GRANDE,4307203,-52.580856376600003,-27.351407495499998
248,ERVAL SECO,4307302,-53.519760669400000,-27.513293313700000
249,ESPERANÇA DO SUL,4307450,-54.009138103399998,-27.328222072500001
250,ESPUMOSO,4307500,-52.827061785799998,-28.864146033800001
251,ESTAÇÃO,4307559,-52.289962295599999,-27.928555776900001
252,ESTRELA,4307807,-51.920001193899999,-29.509299910399999
253,ESTRELA VELHA,4307815,-53.178581950599998,-29.224091139100000
254,EUGÊNIO DE CASTRO,4307831,-54.244342343699998,-28.565961410800000
255,FAGUNDES VARELA,4307864,-51.717487322399997,-28.886579011599999
256,FAXINAL DO SOTURNO,4308003,-53.462883465399997,-29.557933750400000
257,FAXINALZINHO,4308052,-52.676140725400003,-27.375310086300001
258,FAZENDA VILANOVA,4308078,-51.838538203100001,-29.589125273600001
259,FLORIANO PEIXOTO,4308250,-52.045180460399997,-27.858132186700001
260,FONTOURA XAVIER,4308300,-52.377910157999999,-29.008553052300002
261,FORMIGUEIRO,4308409,-53.505977892799997,-29.975980243900000
262,FORQUETINHA,4308433,-52.125469970799998,-29.388805399100001
263,FORTALEZA DOS VALOS,4308458,-53.275554116800002,-28.895211550900001
264,FREDERICO WESTPHALEN,4308508,-53.359819842999997,-27.340383003900001
265,GARIBALDI,4308607,-51.581917416700001,-29.241458130100000
266,GARRUCHOS,4308656,-55.538689222000002,-28.233861575599999
267,GAURAMA,4308706,-52.115586292099998,-27.598678363699999
268,GENERAL CÂMARA,4308805,-51.916294476300003,-29.865367072000002
269,GENTIL,4308854,-52.039537671600002,-28.386497354199999
270,GETÚLIO VARGAS,4308904,-52.180306565599999,-27.852578743500001
271,GIRUÁ,4309001,-54.299079498899999,-28.030028884000000
272,GRAMADO DOS LOUREIROS,4309126,-52.914915704700000,-27.445687351099998
273,GRAMADO XAVIER,4309159,-52.600681510500003,-29.288986720600001
274,GUABIJU,4309258,-51.659980506499998,-28.577921008400001
275,GUAPORÉ,4309407,-51.904396772200002,-28.855019586699999
276,GUARANI DAS MISSÕES,4309506,-54.586529951599999,-28.168034756499999
277,HERVEIRAS,4309571,-52.669374026400000,-29.441518059200000
278,HORIZONTINA,4309605,-54.298073808600002,-27.590695820600001
279,HULHA NEGRA,4309654,-53.889480337300000,-31.447878255799999
280,HUMAITÁ,4309704,-53.979617037399997,-27.574194447899998
281,IBARAMA,4309753,-53.166262312299999,-29.418454243999999
282,IBIAÇÁ,4309803,-51.787164073200003,-28.102316385999998
283,IBIRAIARAS,4309902,-51.629625299200001,-28.381932080399999
284,IBIRAPUITÃ,4309951,-52.442394622599998,-28.625825523600000
285,IBIRUBÁ,4310009,-53.172278618900002,-28.594930740799999
286,IJUÍ,4310207,-53.895058708500002,-28.320722988899998
287,ILÓPOLIS,4310306,-52.131162067200002,-28.931059010300000
288,IMIGRANTE,4310363,-51.775378132900002,-29.345821965599999
289,INDEPENDÊNCIA,4310405,-54.180405610299999,-27.901624455800000
290,INHACORÁ,4310413,-54.030373316199999,-27.902835497000002
291,IPIRANGA DO SUL,4310462,-52.418234731399998,-27.931273587100002
292,IRAÍ,4310504,-53.241417714199997,-27.249146246799999
293,ITAARA,4310538,-53.762038902599997,-29.576947807000000
294,ITACURUBI,4310553,-55.267325432800000,-28.809997966899999
295,ITAPUCA,4310579,-52.195567332700001,-28.775739080800001
296,ITAQUI,4310603,-56.175660342100002,-29.213733653100000
297,ITATIBA DO SUL,4310702,-52.477537364500002,-27.356191758800001
298,IVORÁ,4310751,-53.583633061699999,-29.513570806600001
299,JABOTICABA,4310850,-53.264222545000003,-27.629720964299999
300,JACUIZINHO,4310876,-53.014126574700001,-29.035346321599999
301,JACUTINGA,4310900,-52.547059425800001,-27.786982082200002
302,JAGUARÃO,4311007,-53.335583483999997,-32.410229215299999
303,JAGUARI,4311106,-54.648951913900000,-29.458657950700001
304,JARI,4311130,-54.298466386299999,-29.292108420800002
305,JÓIA,4311155,-54.154519428500002,-28.766731379399999
306,JÚLIO DE CASTILHOS,4311205,-53.652299191300003,-29.258398497900000
307,LAGOA BONITA DO SUL,4311239,-53.042135748100002,-29.502868679900001
308,LAGOÃO,4311254,-52.787674901599999,-29.238614540099999
309,LAGOA DOS TRÊS CANTOS,4311270,-52.834151995500001,-28.570940711399999
310,LAJEADO,4311403,-52.007347341200003,-29.444073023000001
311,LAJEADO DO BUGRE,4311429,-53.206018586699997,-27.703273641900001
312,LAVRAS DO SUL,4311502,-54.153654787699999,-30.772118477700001
313,LIBERATO SALZANO,4311601,-53.063874514799998,-27.549524588499999
314,MACHADINHO,4311700,-51.674008981800000,-27.587004437299999
315,MAÇAMBARÁ,4311718,-55.774961683900003,-29.066190210399999
316,MANOEL VIANA,4311759,-55.556906045799998,-29.428379708500000
317,MARATÁ,4311791,-51.550237407200001,-29.548495084500001
318,MARAU,4311809,-52.268853651999997,-28.455368404800002
319,MARCELINO RAMOS,4311908,-51.950646707899999,-27.478514801599999
320,MARIANA PIMENTEL,4311981,-51.584066044099998,-30.314268264700001
321,MARIANO MORO,4312005,-52.168518287300003,-27.342506374799999
322,MARQUES DE SOUZA,4312054,-52.148772538599999,-29.289751316600000
323,MATA,4312104,-54.468721215000002,-29.538936974199999
324,MATO CASTELHANO,4312138,-52.198286897599999,-28.278306184600002
325,MATO LEITÃO,4312153,-52.135836910199998,-29.525154702599998
326,MATO QUEIMADO,4312179,-54.656346280299999,-28.243507971800000
327,MAXIMILIANO DE ALMEIDA,4312203,-51.815452001600001,-27.603880579300000
328,MINAS DO LEÃO,4312252,-52.077914616000001,-30.074723561300001
329,MIRAGUAÍ,4312302,-53.746111707600001,-27.490655383000000
330,MONTAURI,4312351,-52.050086908499999,-28.669895573900000
331,MONTE BELO DO SUL,4312385,-51.651693043900003,-29.140279034599999
332,MORMAÇO,4312427,-52.661889191000000,-28.693796941199999
333,MORRO REDONDO,4312450,-52.637747975400003,-31.637148851100001
334,MUÇUM,4312609,-51.815566141399998,-29.140423164400001
335,MULITERNO,4312625,-51.776904697799999,-28.326969741500001
336,NÃO-ME-TOQUE,4312658,-52.824912616900001,-28.459416999900000
