ibge,ano,n_families_pbf,value_pbf
150611,2004,664.1666666666666,645800
150613,2004,2483.833333333333,2077458
150616,2004,217.3333333333333,199305
150618,2004,1460.916666666667,1214521
150619,2004,1504.333333333333,1355871
150620,2004,278.75,265701
150630,2004,532.3333333333334,516025
150635,2004,702.4166666666666,612349
150640,2004,267.0833333333333,253350
150650,2004,838.6666666666666,785284
150655,2004,258.1666666666667,236658
150658,2004,240.9166666666667,198559
150660,2004,597,526325
150670,2004,1539.666666666667,1207455
150680,2004,4574,4299698
150690,2004,357.6666666666667,325451
150700,2004,160.25,153605
150710,2004,348.1666666666667,338012
150715,2004,253.25,212334
150720,2004,1161.333333333333,1139723
150730,2004,215.0833333333333,179329
150740,2004,843.8333333333334,779277
150745,2004,744.5,641149
150746,2004,95.75,93702
150747,2004,791.4166666666666,783309
150750,2004,683.0833333333334,638268
150760,2004,2017.75,1819196
150770,2004,658.5,650703
150775,2004,108.9166666666667,91781
150780,2004,258.75,230952
150790,2004,951.5,876221
150795,2004,2442.75,2177966
150796,2004,373.9166666666667,344920
150797,2004,691.5833333333334,663602
150800,2004,2035.25,1930717
150803,2004,2330,2212993
150805,2004,296,258837
150808,2004,1267.166666666667,1129017
150810,2004,3154.833333333333,2832924
150812,2004,428.4166666666667,398447
150815,2004,1418.25,1276561
150820,2004,720.8333333333334,681619
150830,2004,2150.75,2105066
150835,2004,493.6666666666667,437002
150840,2004,1152.166666666667,875497
160005,2004,76.66666666666667,70618
160010,2004,175.9166666666667,171225
160015,2004,187.25,159750
160020,2004,28.66666666666667,24991
160021,2004,147.25,152695
160023,2004,33,32442
160025,2004,17.16666666666667,16340
160027,2004,404.4166666666667,376917
160030,2004,3033.333333333333,2491766
160040,2004,137.4166666666667,138494
160050,2004,410.5,367590
160053,2004,287.8333333333333,274069
160055,2004,135.8333333333333,134430
160060,2004,3184.666666666667,3035430
160070,2004,383.4166666666667,395865
160080,2004,220.25,204385
170025,2004,56.66666666666666,47241
170030,2004,10.58333333333333,7208
170035,2004,232.5833333333333,199841
170040,2004,385,359303
170070,2004,446.0833333333333,403817
170100,2004,136.0833333333333,114579
170105,2004,199.6666666666667,176210
170110,2004,250,220730
170130,2004,79.16666666666667,75118
170190,2004,301.4166666666667,269451
170200,2004,105,75819
170210,2004,2900.25,2243213
170215,2004,149,129576
170220,2004,1381.916666666667,1196894
170230,2004,290.5833333333333,261632
170240,2004,111.25,89896
170255,2004,849.4166666666666,739269
170270,2004,0,0
170290,2004,538.75,455695
170300,2004,586,555992
170305,2004,54.91666666666666,49141
170307,2004,105.6666666666667,92793
170310,2004,490.3333333333333,409298
170320,2004,228.5833333333333,195399
170330,2004,25.41666666666667,23980
170360,2004,37.83333333333334,30609
170370,2004,374.25,328659
170380,2004,404.9166666666667,356504
170382,2004,122,115071
170384,2004,185.25,180970
170386,2004,134.5,118687
170388,2004,36.83333333333334,29480
170389,2004,183.0833333333333,163051
170390,2004,19.66666666666667,17497
170410,2004,89.91666666666667,79155
170460,2004,22.75,18680
170510,2004,69.08333333333333,66935
170550,2004,837.0833333333334,681633
170555,2004,65,48855
170560,2004,40,35198
170600,2004,72.16666666666667,60050
170610,2004,277.5,238963
170625,2004,25.16666666666667,23713
170650,2004,291.0833333333333,251240
170700,2004,462.0833333333333,445032
170710,2004,346.1666666666667,281397
170720,2004,116.75,98779
170730,2004,283.3333333333333,260115
170740,2004,576.25,570068
170755,2004,170.4166666666667,135689
170765,2004,322.1666666666667,257677
170770,2004,369,341412
170820,2004,1118.583333333333,982897
170825,2004,34.83333333333334,29399
170830,2004,256.0833333333333,216498
170900,2004,437.0833333333333,388284
170930,2004,717.8333333333334,628569
170950,2004,1150.25,1010618
170980,2004,5.75,4439
171050,2004,240.25,219268
171070,2004,568.6666666666666,511503
171090,2004,264.9166666666667,238649
171110,2004,122.3333333333333,103438
171150,2004,33.75,30197
